State,lat,lng
VA,38.0652286,-78.90588756
KY,38.2542376,-85.7594069
CA,38.4404675,-122.7144313
CA,36.7295295,-119.7088612
AZ,33.2297793,-111.2092898
CA,40.5863563,-122.3916753
AZ,33.294207,-111.7379465
AZ,33.4485866,-112.0773455
OH,39.85902405,-84.11136285
AR,35.0886963,-92.442101
AK,61.2163129,-149.8948522
MO,38.6122751,-90.4634531
UT,40.7670126,-111.8904307
TX,32.9481789,-96.7297205
AB,52.968492,-113.3679199
AR,36.364792,-93.5679666
HI,21.304547,-157.8556763
UT,37.104153,-113.5841312
OR,44.0581728,-121.3153095
KS,39.0277832,-94.6557913
OH,39.7136754,-82.5993293
CA,33.7358518,-118.2922933
HI,21.5543942,-157.873405
CA,32.7174209,-117.1627713
HI,21.4172766,-157.9986758
CA,34.4480495,-119.2428889
FL,26.103632,-80.40310188
CA,38.2493581,-122.0399662
NM,35.269381,-106.6328189
TN,35.236207,-85.2982059
FL,28.3647248,-82.1959177
CO,37.5050118,-105.0077746
WA,46.1420334,-122.9060317
OK,36.3684245,-96.0013846
NV,39.1637984,-119.7674033
NY,43.0481221,-76.1474243
TN,36.3134398,-82.3534727
FL,26.075729,-80.28410888
KS,39.3222209,-95.2669154
CT,41.717613,-81.2086884
KY,36.9486986,-84.096876
SC,34.7370639,-82.2542833
FL,30.165156,-85.6605594
AZ,33.3067132,-111.8408488
AL,33.547741,-86.5591659
GA,34.2073196,-84.1401925
VA,38.6560565,-90.5742028
KY,37.1839682,-84.5499416
CT,42.26306,-71.8052219
CA,32.7174209,-117.1627713
VT,44.4669941,-73.1709603
AZ,34.6100243,-112.3157209
NJ,40.3183284,-74.42021822
CO,40.3083174,-105.0810923
WA,47.6631371,-117.0855724
IL,41.8755546,-87.6244211
CA,32.8472711,-117.2742085
FL,26.1254381,-80.1381514
IA,41.9758872,-91.6704052
FL,30.165156,-85.6605594
MI,44.3777947,-83.8047086
IA,42.5006217,-90.6647966
FL,29.9032284,-81.4145467
IA,41.5645337,-93.759528
CA,34.1476452,-118.1444778
MD,39.6419219,-77.720264
FL,30.3321838,-81.6556509
NM,36.4072485,-105.5730664
WA,47.7456352,-121.0891717
GA,33.9528472,-84.5496147
NJ,39.9062242,-75.0929516
CA,38.929125,-119.9878464
OR,44.9391565,-123.0331209
MN,44.8454356,-93.5297242
MO,39.3869442,-94.5810658
IA,41.5049873,-94.5194148
UT,37.104153,-113.5841312
CO,40.5508527,-105.0668084
MT,46.5927122,-112.0361089
LA,37.2242358,-95.708313
PA,39.849557,-75.3557457
CA,33.6626232,-117.5893799
MT,45.5915958,-111.1977303
SD,43.431646,-103.4743629
MA,42.6000863,-72.3981415
TN,35.8845238,-84.153526
CO,38.8368777,-107.8568293
VA,36.8529841,-75.9774182
AZ,36.717954,-110.2606012
HI,20.872684,-156.6762728
NM,35.9040858,-109.0335346
NM,35.6869996,-105.9377996
VA,38.8903961,-77.0841584
